title;n_enrolled;institution;level;subject;language;course_length;price;currency;course_url;;;;;
algorithms: design and analysis; part 1;20163.0;stanford university;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/algorithms-design-and-analysis;;;;
introducciï¿½ï¿½n al office;16470.0;universitat politï¿½ï¿½cnica de vale;introductory;computer science;es;7 weeks;75.0;usd;https://www.edx.org/course/introduccion-al-office-365;;;;;
creative thinking: techniques and tools for success;54787.0;imperial college london;introductory;humanities;en;7 weeks;49.0;usd;https://www.edx.org/course/creative-thinking-techniques-and-tools-for-success;;;;;
upper-intermediate english: business and technology;47451.0;universitat politï¿½ï¿½cnica de vale;intermediate;language;en;4 weeks;50.0;usd;https://www.edx.org/course/upper-intermediate-english-technology-today;;;;;
shakespeare's hamlet: the ghost;38331.0;harvard university;introductory;humanities;en;4 weeks;49.0;usd;https://www.edx.org/course/shakespeares-hamlet-the-ghost;;;;;
flashdiet: aprende a comer sano;48105.0;universitat politï¿½ï¿½cnica de vale;introductory;food & nutrition;es;5 weeks;50.0;usd;https://www.edx.org/course/flashdiet-aprende-a-comer-sano;;;;;
cs50's understanding technology;50030.0;harvard university;introductory;computer science;en;6 weeks;90.0;usd;https://www.edx.org/course/cs50s-understanding-technology;;;;;
introduction to aerospace structures and materials;37126.0;delft university of technology;introductory;engineering;en;8 weeks;50.0;usd;https://www.edx.org/course/introduction-to-aerospace-structures-and-materials;;;;;
visualizing data with python;42101.0;ibm;intermediate;data analysis & statistics;en;5 weeks;39.0;usd;https://www.edx.org/course/visualizing-data-with-python;;;;;
success: practical thinking skills;24414.0;the hong kong polytechnic university;introductory;philosophy & ethics;en;4 weeks;50.0;usd;https://www.edx.org/course/practical-thinking-skills-for-a-successful-life-2;;;;;
english for doing business in asia ï¿½ï¿½ï¿½ sp;68422.0;the hong kong university of science and technology;introductory;humanities;en;7 weeks;60.0;usd;https://www.edx.org/course/english-for-doing-business-in-asia-speaking;;;;;
nutrition and health: macronutrients and overnutrition;208582.0;wageningen university & research;introductory;biology & life sciences;en;9 weeks;99.0;usd;https://www.edx.org/course/nutrition-and-health-macronutrients-and-overnutrit;;;;;
contemporary china: the people's republic; taiwan; and hong kong;66771.0;harvard university;introductory;history;en;15 weeks;139.0;usd;https://www.edx.org/course/contemporary-china-the-peoples-republic-taiwan-and;;;
introduction to clinical psychology;57234.0;the university of queensland;introductory;humanities;en;7 weeks;99.0;usd;https://www.edx.org/course/introduction-to-clinical-psychology;;;;;
modern masterpieces of world literature;48049.0;harvard university;introductory;literature;en;8 weeks;99.0;usd;https://www.edx.org/course/modern-masterpieces-of-world-literature;;;;;
citizen politics in america: public opinion; elections; interest groups; and the media;24259.0;harvard university;introductory;social sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/citizen-politics-in-america-public-opinion-electio;;
applied scrum for agile project management;55293.0;the university of maryland, college park-university system of maryland;advanced;engineering;en;4 weeks;199.0;usd;https://www.edx.org/course/usmx-applied-scrum-for-project-management-2;;;;;
corporate finance;62798.0;indian institute of management bangalore;intermediate;business & management;en;5 weeks;150.0;usd;https://www.edx.org/course/corporate-finance-2;;;;;
judaism through its scriptures;50540.0;harvard university;introductory;humanities;en;4 weeks;99.0;usd;https://www.edx.org/course/judaism-through-its-scriptures;;;;;
excel avanzado: importaciï¿½ï¿½n y anï¿½ï¿½lisis ;47184.0;universitat politï¿½ï¿½cnica de vale;advanced;data analysis & statistics;es;8 weeks;75.0;usd;https://www.edx.org/course/excel-avanzado-importacion-y-analisis-de-datos;;;;;
css basics;95163.0;the world wide web consortium (w3c);introductory;computer science;en;5 weeks;199.0;usd;https://www.edx.org/course/css-basics;;;;;
unlocking information security: part i;19905.0;israelx-tel aviv university;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/unlocking-information-security-part-i;;;;;
becoming an effective leader;55937.0;the university of queensland;intermediate;communication;en;10 weeks;99.0;usd;https://www.edx.org/course/becoming-an-effective-leader;;;;;
digital branding and engagement;122977.0;curtin university;intermediate;communication;en;4 weeks;99.0;usd;https://www.edx.org/course/digital-branding-and-engagement;;;;;
introduction to cybersecurity;73021.0;university of washington;introductory;computer science;en;6 weeks;199.0;usd;https://www.edx.org/course/introduction-to-cybersecurity;;;;;
general academic english|ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;17526.0;tsinghua university;introductory;language;en;8 weeks;49.0;usd;https://www.edx.org/course/general-academic-englishsheng-huo-ying-yu-jin-jie;;;;;
gestiï¿½ï¿½n de personas: recursos hum;19687.0;universidad nacional de cï¿½ï¿½r;introductory;business & management;es;5 weeks;119.0;usd;https://www.edx.org/course/gestion-de-personas-recursos-humanos;;;;;
from poverty to prosperity: understanding economic development;91062.0;university of oxford;intermediate;social sciences;en;6 weeks;149.0;usd;https://www.edx.org/course/from-poverty-to-prosperity-understanding-economic;;;;;
medical terminology;31354.0;doane university;introductory;biology & life sciences;en;8 weeks;79.0;usd;https://www.edx.org/course/medical-terminology;;;;;
ancient masterpieces of world literature;48899.0;harvard university;introductory;literature;en;6 weeks;99.0;usd;https://www.edx.org/course/ancient-masterpieces-of-world-literature;;;;;
shakespeare's the merchant of venice: shylock;23283.0;harvard university;introductory;humanities;en;4 weeks;49.0;usd;https://www.edx.org/course/shakespeares-merchant-of-venice-shylock;;;;;
gestiï¿½ï¿½n del estrï¿½ï¿½s y min;15965.0;universidades anï¿½ï¿½;introductory;health & safety;es;4 weeks;49.0;usd;https://www.edx.org/course/gestion-del-estres-y-mindfulness-2;;;;;
behavioural economics in action;66764.0;university of toronto;introductory;business & management;en;6 weeks;139.0;usd;https://www.edx.org/course/behavioural-economics-in-action;;;;;
finance for everyone: smart tools for decision-making;45029.0;the university of michigan;introductory;business & management;en;6 weeks;49.0;usd;https://www.edx.org/course/finance-for-everyone-smart-tools-for-decision-ma-2;;;;;
creating innovative business models;12227.0;university system of maryland-the university of maryland, college park;introductory;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/creating-innovative-business-models;;;;;
u.lab: leading from the emerging future;79424.0;massachusetts institute of technology;introductory;business & management;en;14 weeks;99.0;usd;https://www.edx.org/course/ulab-leading-from-the-emerging-future;;;;;
electric cars:ï¿½ï¿½introduc;56171.0;delft university of technology;intermediate;engineering;en;4 weeks;50.0;usd;https://www.edx.org/course/electric-cars-introduction;;;;;
inteligencia artificial para todos: domina los fundamentos;11764.0;ibm;introductory;computer science;es;4 weeks;49.0;usd;https://www.edx.org/course/inteligencia-artificial-para-todos-domina-los-fundamentos;;;;;
marketing analytics;55228.0;columbia university;advanced;business & management;en;12 weeks;249.0;usd;https://www.edx.org/course/marketing-analytics;;;;;
introducciï¿½ï¿½n a la regulaciï¿½ï¿½n emocional basada en min;20634.0;universidad autï¿½ï¿½noma de ma;introductory;health & safety;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-regulacion-emocional-basada-en-m;;;;;
design thinking fundamentals;56446.0;rochester institute of technology;intermediate;business & management;en;6 weeks;299.0;usd;https://www.edx.org/course/design-thinking-fundamentals;;;;;
basic spanish 3: getting there;17569.0;universitat politï¿½ï¿½cnica de vale;introductory;language;en;4 weeks;50.0;usd;https://www.edx.org/course/basic-spanish-3-getting-there;;;;;
mi propia huerta orgï¿½ï¿½;11346.0;universidad nacional de cï¿½ï¿½r;introductory;biology & life sciences;es;4 weeks;29.0;usd;https://www.edx.org/course/mi-propia-huerta-organica;;;;;
sustainability in architecture: an interdisciplinary introduction;31352.0;universitat politï¿½ï¿½cnica de vale;intermediate;architecture;en;4 weeks;50.0;usd;https://www.edx.org/course/sustainability-in-architecture-an-interdisciplinar;;;;;
gestiï¿½ï¿½n de riesgos en proyectos de desarr;47676.0;inter-american development bank;intermediate;business & management;es;10 weeks;25.0;usd;https://www.edx.org/course/gestion-de-riesgos-en-proyectos-de-desarrollo;;;;;
python data structures;36369.0;the university of michigan;introductory;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/python-data-structures;;;;;
the science and business of biotechnology;17039.0;massachusetts institute of technology;intermediate;business & management;en;16 weeks;49.0;usd;https://www.edx.org/course/the-science-and-business-of-biotechnology;;;;;
finance essentials;63666.0;imperial college business school-imperial college london;introductory;business & management;en;6 weeks;79.0;usd;https://www.edx.org/course/finance-essentials;;;;;
introduction to the internet of things (iot);89421.0;curtin university;introductory;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/introduction-to-the-internet-of-things-iot;;;;;
'talk to me': improving mental health and suicide prevention in young adults;11481.0;curtin university;introductory;health & safety;en;6 weeks;139.0;usd;https://www.edx.org/course/talk-to-me-improving-mental-health;;;;;
disaster medicine training;10937.0;stanford university;introductory;medicine;en;8 weeks;50.0;usd;https://www.edx.org/course/disaster-medicine-training;;;;;
nutrition and health: human microbiome;44079.0;wageningen university & research;introductory;health & safety;en;6 weeks;49.0;usd;https://www.edx.org/course/nutrition-and-health-human-microbiome;;;;;
customer relationship management;53085.0;indian institute of management bangalore;intermediate;business & management;en;6 weeks;50.0;usd;https://www.edx.org/course/customer-relationship-management;;;;;
islam through its scriptures;65430.0;harvard university;introductory;humanities;en;4 weeks;99.0;usd;https://www.edx.org/course/islam-through-its-scriptures;;;;;
mechatronics revolution: fundamentals and core concepts;11619.0;the georgia institute of technology;introductory;engineering;en;16 weeks;149.0;usd;https://www.edx.org/course/mechatronics;;;;;
accounting for decision-making;57710.0;indian institute of management bangalore;intermediate;business & management;en;7 weeks;150.0;usd;https://www.edx.org/course/accounting-for-decision-making;;;;;
c programming: language foundations;46400.0;dartmouth_imtx-dartmouth college-imt;introductory;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/c-programming-language-foundations;;;;;
big data sin misterios;65564.0;inter-american development bank;intermediate;data analysis & statistics;es;10 weeks;25.0;usd;https://www.edx.org/course/big-data-sin-misterios;;;;;
becoming a successful leader (inclusive leadership training);215705.0;catalyst;introductory;communication;en;4 weeks;49.0;usd;https://www.edx.org/course/becoming-a-successful-leader-inclusive-leadershi-2;;;;;
english for journalists; part 1;50847.0;university of california, berkeley;intermediate;communication;en;5 weeks;139.0;usd;https://www.edx.org/course/english-for-journalists-part-1-2;;;;
introduction to networking;16134.0;new york university;introductory;computer science;en;7 weeks;150.0;usd;https://www.edx.org/course/introduction-to-networking;;;;;
accounting essentials;58463.0;imperial college business school-imperial college london;introductory;business & management;en;6 weeks;79.0;usd;https://www.edx.org/course/accounting-essentials;;;;;
introduction to java programming: starting to code in java;325554.0;universidad carlos iii de madrid;introductory;computer science;en;5 weeks;149.0;usd;https://www.edx.org/course/introduction-to-java-programming-starting-to-code;;;;;
european paintings: from leonardo to rembrandt to goya;60734.0;universidad carlos iii de madrid;introductory;humanities;en;7 weeks;99.0;usd;https://www.edx.org/course/european-paintings-from-leonardo-to-rembrandt-to-g;;;;;
