title;n_enrolled;institution;level;subject;language;course_length;price;currency;course_url;;;;;
financial market analysis;37452.0;the international monetary fund;intermediate;economics & finance;en;7 weeks;25.0;usd;https://www.edx.org/course/financial-market-analysis;;;;;
cs50's computer science for business professionals;73208.0;harvard university;introductory;computer science;en;6 weeks;90.0;usd;https://www.edx.org/course/cs50s-computer-science-for-business-professionals;;;;;
gobierno digital;18883.0;inter-american development bank;introductory;social sciences;es;8 weeks;25.0;usd;https://www.edx.org/course/gobierno-digital;;;;;
upper-intermediate english: business and globalization;58532.0;universitat politï¿½ï¿½cnica de vale;intermediate;language;en;4 weeks;50.0;usd;https://www.edx.org/course/upper-intermediate-english-globalization;;;;;
the opioid crisis in america;54805.0;harvard university;introductory;medicine;en;10 weeks;99.0;usd;https://www.edx.org/course/the-opioid-crisis-in-america;;;;;
gestiï¿½ï¿½n de proyectos de desarr;306286.0;inter-american development bank;introductory;business & management;es;10 weeks;49.0;usd;https://www.edx.org/course/gestion-de-proyectos-de-desarrollo;;;;;
statistical learning;27968.0;stanford university;introductory;data analysis & statistics;en;9 weeks;50.0;usd;https://www.edx.org/course/statistical-learning;;;;;
introduction to social psychology;79365.0;the university of queensland;introductory;humanities;en;7 weeks;99.0;usd;https://www.edx.org/course/introduction-to-social-psychology;;;;;
artificial intelligence (ai);265104.0;columbia university;advanced;computer science;en;12 weeks;249.0;usd;https://www.edx.org/course/artificial-intelligence-ai;;;;;
american government: constitutional foundations;35504.0;harvard university;introductory;social sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/american-government-constitutional-foundations;;;;;
introducciï¿½ï¿½n a la inversiï¿½ï¿½n b;64261.0;universitat politï¿½ï¿½cnica de vale;introductory;economics & finance;es;2 weeks;50.0;usd;https://www.edx.org/course/introduccion-a-la-inversion-bursatil;;;;;
japanese books: from manuscript to print;17581.0;harvard university;introductory;art & culture;en;9 weeks;100.0;usd;https://www.edx.org/course/japanese-books-from-manuscript-to-print;;;;;
foundations of modern finance  i;24108.0;massachusetts institute of technology;advanced;economics & finance;en;12 weeks;450.0;usd;https://www.edx.org/course/foundations-of-modern-finance-i;;;;;
operations management;126093.0;indian institute of management bangalore;intermediate;business & management;en;7 weeks;150.0;usd;https://www.edx.org/course/operations-management;;;;;
marketing management;80010.0;indian institute of management bangalore;intermediate;business & management;en;9 weeks;150.0;usd;https://www.edx.org/course/marketing-management;;;;;
marketing enfocado en la estrategia de servicios;24618.0;universidad nacional de cï¿½ï¿½r;introductory;business & management;es;6 weeks;119.0;usd;https://www.edx.org/course/marketing-enfocado-en-la-estrategia-de-servicios;;;;;
introduction to marketing;169126.0;university of british columbia;introductory;business & management;en;6 weeks;150.0;usd;https://www.edx.org/course/introduction-to-marketing;;;;;
programming basics;215059.0;iitbombay;introductory;computer science;en;9 weeks;149.0;usd;https://www.edx.org/course/programming-basics;;;;;
probability and statistics in data science using python;106286.0;the university of california, san diego;advanced;data analysis & statistics;en;10 weeks;350.0;usd;https://www.edx.org/course/probability-and-statistics-in-data-science-using-p;;;;;
html5 coding essentials and best practices;241287.0;the world wide web consortium (w3c);intermediate;computer science;en;6 weeks;199.0;usd;https://www.edx.org/course/html5-coding-essentials-and-best-practices;;;;;
first nights - beethoven's 9thï¿½ï¿½symphony and the 19th century orche;37426.0;harvard university;introductory;humanities;en;3 weeks;49.0;usd;https://www.edx.org/course/first-nights-beethovens-9th-symphony-and-the-19th;;;;;
cell biology: mitochondria;64142.0;harvard university;introductory;biology & life sciences;en;4 weeks;99.0;usd;https://www.edx.org/course/cell-biology-mitochondria;;;;;
